probe_id,gene_symbol,entrez_gene_id
ILMN_1344057,permuted_negative,
ILMN_1344058,permuted_negative,
ILMN_1344059,permuted_negative,
ILMN_1344060,permuted_negative,
ILMN_1344061,permuted_negative,
ILMN_1344062,permuted_negative,
ILMN_1344063,permuted_negative,
ILMN_1344064,permuted_negative,
ILMN_1344065,permuted_negative,
ILMN_1344066,permuted_negative,
ILMN_1344067,permuted_negative,
ILMN_1344068,permuted_negative,
ILMN_1344069,permuted_negative,
ILMN_1344070,permuted_negative,
ILMN_1378483,permuted_negative,
ILMN_1378484,permuted_negative,
ILMN_1378485,permuted_negative,
ILMN_1651199,LOC643334,643334
ILMN_1651209,SLC35E2,9906
ILMN_1651210,DUSP22,56940
ILMN_1651221,LOC642820,642820
ILMN_1651228,RPS28,6234
ILMN_1651229,IPO13,9670
ILMN_1651230,TESSP1,360226
ILMN_1651232,LOC653113,653113
ILMN_1651235,AFAP1,60312
ILMN_1651236,GGTLC1,92086
ILMN_1651237,CDT1,81620
ILMN_1651238,TRPV1,7442
ILMN_1651249,LOC652879,652879
ILMN_1651253,LOC644150,644150
ILMN_1651254,LPP,4026
ILMN_1651259,FLJ36848,647115
ILMN_1651260,CCNE2,9134
ILMN_1651262,HNRNPAB,3182
ILMN_1651268,LOH12CR1,118426
ILMN_1651278,SNIP1,79753
ILMN_1651279,LOC645349,645349
ILMN_1651281,LOC389669,389669
ILMN_1651282,COL17A1,1308
ILMN_1651285,BCL6B,255877
ILMN_1651286,GRHL1,29841
ILMN_1651288,LOC339760,339760
ILMN_1651292,LOC644613,644613
ILMN_1651296,LOC143666,143666
ILMN_1651303,ATP13A4,84239
ILMN_1651309,DIAPH2,1730
